,Gloss
132,ДОБАВЬ МЕНЯ В ГРУППУ ФЕЙСБУК
133,ТЫ МНЕ НРАВИТСЯ
134,ТЫ МНЕ НЕ НРАВИТСЯ
135,ДАВАЙ БУДЕМ ДРУЖБА
136,МОЙ БРАТ И СЕСТРА ГЛУХИЕ
137,У ТЕБЯ ЕСТЬ ГЛУХИЕ РОДСТВЕННИКИ
138,МОЙ МАМА И ПАПА ГЛУХИЕ
139,МОЙ БАБУШКА И ДЕДУШКА СЛЫШАЩИЕ
140,У МЕНЯ СЛЫШАЩИЕ ДЯДЯ И ТЕТЯ
141,У МЕНЯ ГЛУХОЙ РЕБЕНОК
142,МОЙ БРАТ ПОТЕРЯЛ СЛУХ
143,МОЙ ДОЧЬ РОДИЛАСЬ ГЛУХОЙ
144,Я ХОЧУ ПРАКТИКА МОЙ ЖЕСТОВЫЙ ЯЗЫК
145,СУПЕР Я НАУЧУ БУДУ
146,Я С УДОВОЛЬСТВИЕМ ТЕБЕ ПОМОГУ
147,Я ИЗВИНИТЕ Я ТОЛЬКО НАЧИНАЮ УЧИТЬ ЖЕСТОВЫЙ ЯЗЫК
148,"НИЧЕГО СТРАШНОГО, УСПЕЕШЬ"
149,Я НЕМНОГО ЗНАЮ ЖЕСТОВЫЙ ЯЗЫК
150,ЖАЛЬ Я НЕ ПОНИМАЮ
151,ТЫ СЛИШКОМ БЫСТРО ЖЕСТИКУЛИРУЕТЕ
152,НЕ СПЕШИТЕ ПОЖАЛУЙСТА
153,ИЗВИНИТЕ Я НЕ УСПЕВАЮ
154,МОЖЕТЕ ПОЖАЛУЙСТА ПОМЕДЛЕННЕЕ
155,МОЖЕТЕ ПОЖАЛУЙСТА ПОВТОРИТЬ
156,КАК БУДЕТ ЖЕСТ
157,ПРОСТИТЕ Я НЕ ЗНАЮ
158,Я НЕМНОГО ВОЛНУЮСЬ
159,ТЫ ГЛУХОЙ
160,ИЗВИНИТЕ МЕНЯ
161,ПРОСТИТЕ
162,МНЕ ЖАЛЬ
163,МНЕ ОЧЕНЬ ЖАЛЬ
164,НИЧЕГО ВСЕ НОРМАЛЬНО
165,НЕ ЗАБЫВАЙ ПРОДОЛЖАТЬ ПРАКТИКА УЧИТЬСЯ ХОРОШО
166,КАКОЙ ПРЕКРАСНЫЙ ДЕНЬ
167,СЕГОДНЯ ТАК ЖАРКО
168,КАКАЯ СЕЙЧАС ПОГОДА
169,НА УЛИЦЕ ИДЕТ СНЕГ
170,ХОРОШО ПОГОДА
171,НА УЛИЦЕ ОЧЕНЬ ХОЛОДНО
172,Я ЛЮБЛЮ ДОЖДЬ
173,Я НЕ ЛЮБЛЮ ЖАРУ
174,МНЕ НРАВИТСЯ ВЕТЕР
175,НА УЛИЦЕ ОЧЕНЬ СИЛЬНЫЙ ВЕТЕР
